draft_year,round,pick_number,first_team,peak_ws_with_first_team,peak_ws_season,total_ws_with_first_team
1989,1,1,SAC,0.4,1989-90,0.4
1989,1,2,CLE,5.6,1996-97,28.5
1989,1,3,SAS,9.0,1990-91,58.0
1989,1,4,MIA,10.299999999999999,1993-94,39.900000000000006
1989,1,5,CHH,2.1,1991-92,9.1
1989,1,6,CHI,3.6,1989-90,10.9
1989,1,7,IND,1.4,1992-93,1.2999999999999998
1989,1,8,DAL,0.8,1992-93,1.9
1989,1,9,WSB,0.8,1990-91,1.9
1989,1,10,MIN,5.9,1990-91,14.4
1989,1,11,ORL,10.0,1994-95,55.69999999999999
1989,1,12,NJN,4.800000000000001,1991-92,6.6000000000000005
1989,1,13,BOS,0.7,1989-90,1.0
1989,1,14,GSW,11.1,1990-91,40.300000000000004
1989,1,15,DEN,1.8,1989-90,5.3
1989,1,16,SEA,3.8000000000000003,1991-92,11.999999999999998
1989,1,17,SEA,14.2,1995-96,76.50000000000001
1989,1,18,CHI,9.3,1992-93,39.59999999999999
1989,1,19,PHI,0.2,1991-92,-0.09999999999999998
1989,1,20,CHI,-0.3,1989-90,-0.3
1989,1,21,UTA,5.5,1991-92,11.400000000000002
1989,1,22,POR,1.2,1989-90,1.2
1989,1,23,ATL,-0.3,1989-90,-0.3
1989,1,24,DEN,0.5,1990-91,0.9
1989,1,25,CLE,1.5,1990-91,0.6
1989,1,26,LAL,10.2,1994-95,46.40000000000001
1989,1,27,PHO,1.9,1989-90,2.3
1989,2,28,MIA,5.4,1990-91,9.9
1989,2,29,IND,0.0,1989-90,0.0
1989,2,30,MIL,0.0,1989-90,-0.1
1989,2,31,LAC,1.3,1990-91,2.2
1989,2,32,NJN,0.2,1989-90,0.2
1989,2,33,LAC,0.0,1989-90,0.0
1989,2,34,MIN,0.0,1989-90,0.0
1989,2,35,GSW,-0.2,1992-93,-0.2
1989,2,36,POR,8.399999999999999,1994-95,47.199999999999996
1989,2,37,ORL,3.3,1989-90,6.4
1989,2,38,MIN,4.6,1991-92,17.100000000000005
1989,2,39,WSB,0.4,1989-90,0.4
1989,2,40,BOS,5.9,1993-94,14.4
1989,2,41,WSB,0.4,1989-90,0.4
1989,2,42,WSB,0.0,1989-90,0.0
1989,2,43,CLE,2.2,1989-90,4.1000000000000005
1989,2,44,CLE,0.0,1989-90,0.0
1989,2,45,MIA,-0.1,1989-90,-0.1
1989,2,46,CHI,0.0,1992-93,0.0
1989,2,47,CHI,0.0,1992-93,0.0
1989,2,48,CHI,0.0,1992-93,0.0
1989,2,49,ATL,0.1,1989-90,0.1
1989,2,50,NYK,0.8,1990-91,1.0
1989,2,51,PHO,-0.3,1989-90,-0.3
1989,2,52,PHO,-0.1,1989-90,-0.1
1989,2,53,PHO,0.0,1989-90,0.0
1989,2,54,PHO,0.0,1989-90,0.0
1990,1,1,NJN,10.7,1992-93,38.0
1990,1,2,SEA,14.6,1995-96,132.1
1990,1,3,DEN,7.1,1993-94,22.2
1990,1,4,ORL,9.3,1995-96,29.599999999999998
1990,1,5,CHH,4.7,1991-92,11.700000000000001
1990,1,6,MIN,5.6,1990-91,8.7
1990,1,7,SAC,4.3,1991-92,17.1
1990,1,8,LAC,0.1,1991-92,0.1
1990,1,9,MIA,2.1,1990-91,5.699999999999999
1990,1,10,ATL,2.4,1991-92,2.3
1990,1,11,GSW,4.9,1992-93,11.4
1990,1,12,MIA,1.0999999999999999,1991-92,1.9
1990,1,13,LAC,6.5,1996-97,34.400000000000006
1990,1,14,SAC,2.1,1990-91,2.1
1990,1,15,HOU,0.2,1991-92,0.30000000000000004
1990,1,16,DEN,0.3,1990-91,0.3
1990,1,17,NYK,0.4,1990-91,0.4
1990,1,18,SAC,3.9,1991-92,14.6
1990,1,19,BOS,7.3,1994-95,28.900000000000002
1990,1,20,MIN,0.5,1990-91,0.6000000000000001
1990,1,21,PHI,0.1,1990-91,-0.19999999999999998
1990,1,22,NJN,0.9000000000000001,1991-92,1.2
1990,1,23,SAC,2.4,1992-93,4.699999999999999
1990,1,24,SAS,0.2,1990-91,0.2
1990,1,25,POR,2.1,1991-92,2.6
1990,1,26,DET,0.4,1991-92,0.5
1990,1,27,LAL,8.399999999999999,1995-96,36.9
1990,2,28,GSW,0.0,1990-91,0.0
1990,2,29,CHI,11.4,1995-96,47.29999999999999
1990,2,30,HOU,4.6,1992-93,9.7
1990,2,31,PHO,0.6,1990-91,1.3000000000000003
1990,2,32,PHI,0.2,1990-91,-0.49999999999999994
1990,2,33,UTA,-0.1,1990-91,-0.1
1990,2,34,GSW,-0.2,1990-91,-0.2
1990,2,35,WSB,0.6,1990-91,1.1
1990,2,36,ATL,-0.5,1990-91,-0.5
1990,2,37,WSB,0.9,1991-92,1.1
1990,2,38,NJN,1.2,1990-91,1.2
1990,2,39,CHH,0.6,1990-91,0.6
1990,2,40,MIA,5.7,1992-93,20.6
1990,2,41,SAS,0.0,1991-92,0.0
1990,2,42,DEN,2.4,1991-92,4.5
1990,2,43,SAS,1.1,2004-05,1.5
1990,2,44,MIL,1.2,1990-91,1.4
1990,2,45,IND,8.700000000000001,1997-98,32.300000000000004
1990,2,46,IND,2.7,1992-93,7.5
1990,2,47,WSB,0.0,1991-92,0.0
1990,2,48,PHO,6.9,1992-93,20.0
1990,2,49,PHO,0.0,1992-93,0.0
1990,2,50,CLE,-0.1,1990-91,-0.1
1990,2,51,LAL,1.7,1992-93,5.0
1990,2,52,PHO,-0.1,1995-96,-0.1
1990,2,53,PHO,0.0,1995-96,0.0
1990,2,54,SAS,0.0,1990-91,0.0
1991,1,1,CHH,10.9,1992-93,42.8
1991,1,2,NJN,7.8,1993-94,23.2
1991,1,3,GSW,5.8,1993-94,13.799999999999999
1991,1,4,DEN,10.700000000000001,1993-94,40.599999999999994
1991,1,5,MIA,8.6,1993-94,13.899999999999999
1991,1,6,DAL,2.3,1993-94,3.1999999999999997
1991,1,7,MIN,0.9,1993-94,1.3
1991,1,8,DEN,0.5,1992-93,-0.6000000000000001
1991,1,9,ATL,10.5,1993-94,29.200000000000006
1991,1,10,ORL,1.8,1991-92,2.1
1991,1,11,CLE,12.899999999999999,1995-96,37.300000000000004
1991,1,12,NYK,5.9,1993-94,16.5
1991,1,13,IND,9.399999999999999,1999-00,65.8
1991,1,14,SEA,0.2,1991-92,0.20000000000000004
1991,1,15,MIL,0.3,1992-93,0.6
1991,1,16,GSW,4.7,1993-94,15.799999999999999
1991,1,17,GSW,3.0,1992-93,8.9
1991,1,18,DEN,0.1,1991-92,-0.1
1991,1,19,WSB,0.8,1992-93,1.0
1991,1,20,HOU,-0.1,1991-92,-0.1
1991,1,21,UTA,0.6,1991-92,0.6
